Location,Loc2,YSW,Year,Date,Cap,MYSE,Net_events,Nets
LI,Island,1,2012,23-Jul,1,1,1,4
LI,Island,1,2012,24-Jul,1,7,1,4
LI,Island,1,2012,25-Jul,1,4,1,4
LI,Island,1,2012,27-Jul,1,3,1,4
LI,Island,1,2012,29-Jul,1,6,1,4
LI,Island,1,2012,30-Jul,1,1,1,4
LI,Island,1,2012,31-Jul,1,3,1,4
LI,Island,1,2012,1-Aug,0,0,1,4
LI,Island,3,2014,28-Jul,1,1,1,4
LI,Island,3,2014,29-Jul,0,0,1,5
LI,Island,3,2014,30-Jul,1,3,2,11
LI,Island,3,2014,31-Jul,1,2,2,11
LI,Island,3,2014,1-Aug,1,1,1,4
LI,Island,3,2014,18-Sep,0,0,1,4
LI,Island,3,2014,19-Sep,1,2,1,4
LI,Island,4,2015,19-Jun,0,0,1,3
LI,Island,4,2015,22-Jun,0,0,1,2
LI,Island,4,2015,24-Jun,0,0,1,3
LI,Island,4,2015,25-Jun,0,0,1,3
LI,Island,4,2015,26-Jun,0,0,1,3
LI,Island,4,2015,29-Jun,1,8,1,4
LI,Island,4,2015,30-Jun,1,4,1,4
LI,Island,4,2015,29-Jul,0,0,1,8
LI,Island,4,2015,30-Jul,0,0,1,8
LI,Island,4,2015,18-Aug,0,0,1,7
LI,Island,4,2015,19-Aug,0,0,1,7
LI,Island,5,2016,27-Jun,0,0,1,2
LI,Island,5,2016,28-Jun,0,0,1,2
LI,Island,5,2016,29-Jun,1,1,1,2
LI,Island,5,2016,30-Jun,0,0,1,2
LI,Island,5,2016,2-Jul,0,0,1,2
LI,Island,5,2016,3-Jul,0,0,1,2
LI,Island,5,2016,4-Jul,0,0,1,2
LI,Island,5,2016,5-Jul,0,0,1,2
LI,Island,5,2016,6-Jul,1,5,1,3
LI,Island,6,2017,12-Apr,1,3,1,5
LI,Island,6,2017,13-Apr,1,2,1,7
LI,Island,6,2017,26-Jun,1,2,1,5
LI,Island,6,2017,27-Jun,1,3,1,7
