county,species,clustersize,state,wyear,yoa,ysw,preN,preNyear,surveydiff,lambda.post,wtemp,postwns_surv,surv_including yoa
LYCOMING,MYSE,1,PA,2013,2010,3,11,1995,15,0.090909091,-1.7,1,1
FAYETTE,MYSE,0,PA,2012,2010,2,6,1997,13,0,0.6,1,1
WESTMORELAND,MYSE,0,PA,2013,2011,2,13,2000,11,0,-0.6,1,1
HAMPDEN,MYSE,2,MA,2009,2008,1,203,1999,9,0.009852217,-1.2,1,1
HAMPDEN,MYSE,0,MA,2009,2008,1,190,1999,9,0,-1.2,1,1
PUTNAM,MYSE,0,NY,2010,2009,1,15,2000,9,0,-1.2,1,2
BERKSHIRE,MYSE,10,MA,2009,2008,1,100,2000,8,0.1,-1.2,1,2
WARREN,MYSE,0,NY,2010,2008,2,440,2000,8,0,-6.6,3,4
LAWRENCE,MYSE,0,PA,2012,2010,2,30,2002,8,0,-0.9,1,1
BATG,MYSE,0,VA,2013,2009,4,7,2001,8,0,1.6,2,3
SCHOHARIE,MYSE,0,NY,2008,2006,2,18,1999,7,0,-3.7,4,5
ULSTER,MYSE,0,NY,2009,2008,1,10,2001,7,0,-1.5,3,4
BLAIR,MYSE,0,PA,2012,2010,2,22,2003,7,0,-0.6,2,2
HAMPDEN,MYSE,44,MA,2009,2008,1,131,2002,6,0.335877863,-3.7,1,1
GOGEBIC,MYSE,0,MI,2018,2016,2,14,2011,5,0,-9.7,2,2
ESSEX,MYSE,4,NY,2011,2008,3,26,2003,5,0.153846154,-5.8,2,2
BATH,MYSE,0,VA,2012,2010,2,10,2005,5,0,0.2,3,3
ORANGE,MYSE,0,VT,2010,2009,1,41,2004,5,0,-6.4,0,1
HOUGHTON,MYSE,0,MI,2017,2015,2,369,2011,4,0,-8.1,1,1
WARREN,MYSE,0,NY,2009,2008,1,26,2004,4,0,-4.5,1,1
ULSTER,MYSE,0,NY,2010,2008,2,44,2004,4,0,-1.5,2,3
WINDSOR,MYSE,0,VT,2009,2009,1,230,2005,4,0,-6.4,0,1
ONTONAGON,MYSE,0,MI,2016,2015,1,130,2012,3,0,-8.6,4,5
ONTONAGON,MYSE,0,MI,2018,2014,4,14,2011,3,0,-8.3,2,2
ONTONAGON,MYSE,0,MI,2018,2014,4,199,2011,3,0,-8.3,3,3
ONTONAGON,MYSE,1,MI,2018,2014,4,561,2011,3,0.001782531,-8.4,2,2
MIFFLIN,MYSE,0,PA,2010,2009,1,30,2006,3,0,-0.3,2,3
HUNTINGDON,MYSE,0,PA,2011,2010,3,9,2007,3,0,-1.4,2,2
FENTRESS,MYSE,1,TN,2017,2013,4,40,2010,3,0.025,4.4,2,3
LITCHFIELD,MYSE,0,CT,2010,2009,2,527,2007,2,0,-2.5,1,2
KEWEENAW,MYSE,0,MI,2017,2014,3,10,2012,2,0,-7.7,2,2
